PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Mo_Bamba,ORL,23,54,13,41,26.1,10.2,4.1,8.5,47.6,1.3,3.6,34.5,0.9,1.0,82.1,2.1,5.8,7.9,1.2,1.2,0.6,1.8,2.6,27.4,12,0,-6.2
P.J._Washington,CHA,23,48,22,26,26.0,10.1,3.6,8.0,45.5,1.8,4.9,37.3,1.0,1.4,72.3,1.3,4.2,5.5,2.0,1.3,0.8,0.9,2.5,23.6,2,0,1.1
Pat_Connaughton,MIL,29,54,34,20,27.0,10.1,3.6,7.7,46.7,2.3,5.7,40.7,0.6,0.7,81.1,0.7,3.7,4.4,1.2,0.6,0.9,0.3,1.4,20.2,0,0,-0.1
Trey_Lyles,SAC,26,59,13,46,18.8,10.0,3.3,7.2,46.6,0.8,2.7,30.4,2.5,3.2,78.5,1.1,3.5,4.6,1.1,1.0,0.4,0.5,1.7,18.6,1,0,-2.8
Brandon_Knight,DAL,30,3,1,2,18.2,10.0,3.0,6.7,45.0,1.3,4.3,30.8,2.7,2.7,100,0.0,2.3,2.3,2.7,1.3,0.3,0.0,1.7,16.5,0,0,2.0
Ivica_Zubac,LAC,24,60,32,28,24.2,10.0,3.9,6.0,65.0,0.0,0.0,0.0,2.3,3.1,71.8,2.7,5.5,8.2,1.4,1.5,0.5,1.0,2.6,24.9,18,0,-1.9
Robert_Williams_III,BOS,24,53,33,20,30.2,10.0,4.4,6.1,72.5,0.0,0.0,0.0,1.1,1.5,72.0,3.9,5.9,9.8,2.0,1.1,0.9,2.2,2.2,33.2,22,1,5.1
Davion_Mitchell,SAC,23,59,22,37,25.6,9.9,4.1,10.3,40.0,1.3,4.2,30.8,0.5,0.8,58.7,0.5,1.7,2.2,3.3,1.2,0.7,0.3,1.8,19.4,0,0,-2.9
Eric_Bledsoe,POR,32,54,27,27,25.2,9.9,3.6,8.7,42.1,0.9,3.0,31.3,1.6,2.2,76.1,0.5,2.9,3.4,4.2,2.1,1.3,0.4,1.6,22.9,2,0,-0.7
Michael_Porter_Jr.,DEN,23,9,5,4,29.4,9.9,4.1,11.4,35.9,1.1,5.3,20.8,0.6,1.0,55.6,1.0,5.6,6.6,1.9,1.3,1.1,0.2,1.8,23.3,1,0,6.4
